name,type,direction,description
feat_000,float,,SAND shape-aware embedding dimension 0 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_001,float,,SAND shape-aware embedding dimension 1 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_002,float,,SAND shape-aware embedding dimension 2 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_003,float,,SAND shape-aware embedding dimension 3 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_004,float,,SAND shape-aware embedding dimension 4 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_005,float,,SAND shape-aware embedding dimension 5 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_006,float,,SAND shape-aware embedding dimension 6 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_007,float,,SAND shape-aware embedding dimension 7 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_008,float,,SAND shape-aware embedding dimension 8 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_009,float,,SAND shape-aware embedding dimension 9 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_010,float,,SAND shape-aware embedding dimension 10 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_011,float,,SAND shape-aware embedding dimension 11 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_012,float,,SAND shape-aware embedding dimension 12 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_013,float,,SAND shape-aware embedding dimension 13 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_014,float,,SAND shape-aware embedding dimension 14 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_015,float,,SAND shape-aware embedding dimension 15 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_016,float,,SAND shape-aware embedding dimension 16 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_017,float,,SAND shape-aware embedding dimension 17 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_018,float,,SAND shape-aware embedding dimension 18 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_019,float,,SAND shape-aware embedding dimension 19 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_020,float,,SAND shape-aware embedding dimension 20 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_021,float,,SAND shape-aware embedding dimension 21 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_022,float,,SAND shape-aware embedding dimension 22 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_023,float,,SAND shape-aware embedding dimension 23 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_024,float,,SAND shape-aware embedding dimension 24 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_025,float,,SAND shape-aware embedding dimension 25 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_026,float,,SAND shape-aware embedding dimension 26 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_027,float,,SAND shape-aware embedding dimension 27 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_028,float,,SAND shape-aware embedding dimension 28 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_029,float,,SAND shape-aware embedding dimension 29 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_030,float,,SAND shape-aware embedding dimension 30 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_031,float,,SAND shape-aware embedding dimension 31 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_032,float,,SAND shape-aware embedding dimension 32 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_033,float,,SAND shape-aware embedding dimension 33 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_034,float,,SAND shape-aware embedding dimension 34 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_035,float,,SAND shape-aware embedding dimension 35 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_036,float,,SAND shape-aware embedding dimension 36 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_037,float,,SAND shape-aware embedding dimension 37 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_038,float,,SAND shape-aware embedding dimension 38 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_039,float,,SAND shape-aware embedding dimension 39 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_040,float,,SAND shape-aware embedding dimension 40 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_041,float,,SAND shape-aware embedding dimension 41 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_042,float,,SAND shape-aware embedding dimension 42 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_043,float,,SAND shape-aware embedding dimension 43 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_044,float,,SAND shape-aware embedding dimension 44 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_045,float,,SAND shape-aware embedding dimension 45 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_046,float,,SAND shape-aware embedding dimension 46 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_047,float,,SAND shape-aware embedding dimension 47 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_048,float,,SAND shape-aware embedding dimension 48 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_049,float,,SAND shape-aware embedding dimension 49 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_050,float,,SAND shape-aware embedding dimension 50 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_051,float,,SAND shape-aware embedding dimension 51 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_052,float,,SAND shape-aware embedding dimension 52 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_053,float,,SAND shape-aware embedding dimension 53 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_054,float,,SAND shape-aware embedding dimension 54 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
feat_055,float,,SAND shape-aware embedding dimension 55 (L2-normalized; cosine similarity approximates 3D molecular shape overlap)
